Date,Apruebo,Rechazo,NSNR
2022-01-28,56,33,11
2022-02-11,47,38,15
2022-02-25,47,32,21
2022-03-04,44,37,19
2022-03-11,42,35,23
2022-03-18,46,33,21
2022-03-25,46,36,18
2022-04-01,40,46,14
2022-04-07,39,44,17
2022-04-14,38,45,17
2022-04-22,37,46,17
2022-04-29,36,46,18
2022-05-06,35,48,17
2022-05-13,38,46,16
2022-05-20,37,46,17
2022-05-27,37,45,18
2022-06-03,42,45,13
2022-06-10,39,43,18
2022-06-17,37,46,17
2022-06-24,33,51,16
2022-07-01,34,51,15
2022-07-08,35,53,12
2022-07-15,37,52,11
2022-07-22,39,47,14
2022-07-29,38,48,14
2022-08-05,37,47,16
2022-08-12,38,46,16
2022-08-19,37,46,17
2022-08-26,38,48,14
2022-09-02,40,45,15
